,kV,kVAr,µF,Hz,Amp,L (mm),L1 (mm),W (mm),H (mm),H2 (mm),X (mm),Stud (mm),Weight (kg),Phases,Bushing,Fuse
B25161F0050B008,6.35,50,3.3,60,7.9,343,397,115,175,50,230,M12,14,1,2,external
B25161F0100B008,6.35,100,6.6,60,15.7,343,397,115,250,100,230,M12,19,1,2,external
B25161F0150B008,6.35,150,9.9,60,23.6,343,397,115,350,100,230,M12,24,1,2,external
B25161F0200B008,6.35,200,13.2,60,31.5,343,397,115,425,200,230,M12,29,1,2,external
B25161F0300B008,6.35,300,19.7,60,47.2,343,397,115,600,200,230,M16,39,1,2,external
B25161F0400B008,6.35,400,26.3,60,63,343,397,138,625,200,230,M16,46,1,2,external
B25161F0050B009,6.6,50,3,60,7.6,343,397,115,250,100,230,M12,19,1,2,external
B25161F0100B009,6.6,100,6.1,60,15.2,343,397,115,325,100,230,M12,23,1,2,external
B25161F0150B009,6.6,150,9.1,60,22.7,343,397,115,325,100,230,M12,23,1,2,external
B25161F0200B009,6.6,200,12.2,60,30.3,343,397,115,400,200,230,M12,27,1,2,external
B25161F0300B009,6.6,300,18.3,60,45.5,343,397,115,550,200,230,M16,36,1,2,external
B25161F0400B009,6.6,400,24.4,60,60.6,343,397,138,575,200,230,M16,43,1,2,external
B25161G0100B008,7.62,100,4.6,60,13.1,343,397,115,250,100,230,M12,19,1,2,external
B25161G0150B008,7.62,150,6.9,60,19.7,343,397,115,350,100,230,M12,24,1,2,external
B25161G0200B008,7.62,200,9.1,60,26.2,343,397,115,425,200,230,M12,29,1,2,external
B25161G0300B008,7.62,300,13.7,60,39.4,343,397,115,600,200,230,M16,39,1,2,external
B25161G0400B008,7.62,400,18.3,60,52.5,343,397,138,625,200,230,M16,46,1,2,external
B25161G0600B008,7.62,600,27.4,60,78.7,350,404,178,750,300,230,M16,69,1,2,external
B25161N0100B007,13.28,100,1.5,60,7.5,343,397,115,250,100,230,M12,19,1,2,external
B25161N0150B007,13.28,150,2.3,60,11.3,343,397,115,350,100,230,M12,25,1,2,external
B25161N0200B007,13.28,200,3,60,15.1,343,397,115,425,200,230,M12,29,1,2,external
B25161N0300B007,13.28,300,4.5,60,22.6,343,397,115,575,200,230,M12,38,1,2,external
B25161N0400B007,13.28,400,6,60,30.1,343,397,138,625,200,230,M12,47,1,2,external
B25161N0600B007,13.28,600,9,60,45.2,350,404,178,750,300,230,M16,69,1,2,external
B25161N0800B007,13.28,800,12,60,60.2,350,404,178,925,300,230,M16,84,1,2,external
B25161N0100B009,13.8,100,1.4,60,7.2,343,397,115,250,100,230,M12,19,1,2,external
B25161N0150B009,13.8,150,2.1,60,10.9,343,397,115,325,100,230,M12,24,1,2,external
B25161N0200B009,13.8,200,2.8,60,14.5,343,397,115,425,200,230,M12,29,1,2,external
B25161N0300B009,13.8,300,4.2,60,21.7,343,397,115,575,200,230,M12,38,1,2,external
B25161N0400B009,13.8,400,5.6,60,29,343,397,138,600,200,230,M12,45,1,2,external
B25161N0600B009,13.8,600,8.4,60,43.5,350,404,178,700,300,230,M16,65,1,2,external
B25161P0050B006,19.05,50,0.44,50,2.62,350,404,120,250,100,230,M16,21,1,1,external
B25161P0100B006,19.05,100,0.88,50,5.25,350,404,120,300,100,230,M16,24,1,1,external
B25161P0150B006,19.05,150,1.32,50,7.87,350,404,120,425,200,230,M16,32,1,1,external
B25161P0200B006,19.05,200,1.76,50,10.5,350,404,120,500,200,230,M16,36,1,1,external
B25161P0250B006,19.05,250,2.19,50,13.12,350,404,145,500,200,230,M16,42,1,1,external
B25161P0300B006,19.05,300,2.63,50,15.75,350,404,145,600,200,230,M16,49,1,1,external
B25161P0400B006,19.05,400,3.51,50,21,350,404,185,625,200,230,M16,62,1,1,external
B25161P0600B006,19.05,600,5.27,50,31.5,350,404,185,900,300,230,M16,86,1,1,external
B25161Q0100B006,21,100,0.72,50,4.76,350,404,120,275,100,230,M16,23,1,1,external
B25161Q0150B006,21,150,1.08,50,7.14,350,404,120,375,100,230,M16,29,1,1,external
B25161Q0200B006,21,200,1.44,50,9.52,350,404,120,450,200,230,M16,33,1,1,external
B25161Q0300B006,21,300,2.17,50,14.29,350,404,145,500,200,230,M16,42,1,1,external
B25161Q0400B006,21,400,2.89,50,19.05,350,404,160,600,200,230,M16,53,1,1,external
B25161Q0600B006,21,600,4.33,50,28.57,350,404,185,750,300,230,M16,73,1,1,external
B25161Q0100B007,22.13,100,0.65,50,4.52,350,404,120,300,100,230,M16,24,1,1,external
B25161Q0150B007,22.13,150,0.98,50,6.78,350,404,120,425,200,230,M16,32,1,1,external
B25161Q0200B007,22.13,200,1.3,50,9.04,350,404,120,500,200,230,M16,36,1,1,external
B25161Q0250B007,22.13,250,1.63,50,11.3,350,404,145,500,200,230,M16,42,1,1,external
B25161Q0300B007,22.13,300,1.95,50,13.56,350,404,145,600,200,230,M16,49,1,1,external
B25161Q0400B007,22.13,400,2.6,50,18.08,350,404,185,625,200,230,M16,62,1,1,external
