Primary kV,Secondary kV,SKU,Primary Voltage,KVA,%Z,X/R,Full load loss [kW],No load loss [kW],Secondary Voltage,Feed,Config.,Bushing Qty,Winding,LBOR,Housing,Pri. BIL,Freq.,Cooling
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R7-1P-GMT-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R7-1P-GMT-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R7-1P-GMT-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R7-1P-GMT-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R7-1P-GMT-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R7-1P-GMT-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R5-1P-GMT-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R5-1P-GMT-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R5-1P-GMT-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R5-1P-GMT-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R5-1P-GMT-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R5-1P-GMT-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R5-1P-GMT-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R5-1P-GMT-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R5-1P-GMT-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R5-1P-GMT-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R5-1P-GMT-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R5-1P-GMT-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R5-1P-GMT-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R7-1P-GMV-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R7-1P-GMU-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R7-1P-GMU-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R7-1P-GMU-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R7-1P-GMU-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R7-1P-GMU-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R7-1P-GMU-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R7-1P-GMU-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R7-1P-GMU-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R7-1P-GMU-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R7-1P-GMU-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R7-1P-GMU-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R7-1P-GMU-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R5-1P-GMU-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R5-1P-GMU-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R5-1P-GMU-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R5-1P-GMU-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R5-1P-GMU-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R5-1P-GMU-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R5-1P-GMU-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R5-1P-GMU-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R5-1P-GMU-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R5-1P-GMU-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R5-1P-GMU-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R5-1P-GMU-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11950GrdY/6900 Primary - 240/120V Secondary,MT-PML-R5-1P-GMU-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11950GrdY/6900,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R7-1P-GMV-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R7-1P-GMV-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R7-1P-GMV-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R7-1P-GMV-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R7-1P-GMV-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R7-1P-GMV-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R7-1P-GMV-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R7-1P-GMV-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R7-1P-GMV-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R7-1P-GMV-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R7-1P-GMV-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R7-1P-GMV-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R7-1P-GMV-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R5-1P-GMV-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R5-1P-GMV-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R5-1P-GMV-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R5-1P-GMV-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R5-1P-GMV-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R5-1P-GMV-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R5-1P-GMV-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R5-1P-GMV-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R5-1P-GMV-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R5-1P-GMV-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R5-1P-GMV-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R5-1P-GMV-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,11000GrdY/6351 Primary - 240/120V Secondary,MT-PML-R5-1P-GMV-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,11000GrdY/6351,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R7-1P-GNB-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R7-1P-GNB-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R7-1P-GNB-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R7-1P-GNB-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R7-1P-GNB-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R7-1P-GNB-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R7-1P-GNB-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R7-1P-GNB-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R7-1P-GNB-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R7-1P-GNB-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
